PlotID,contributor_assigned_plot_id,email,Investigators,SiteName,Country,SiteLatitude,SiteLongitude,EPSG,ClimateZone,PlantFuntionalType,PeakBiomass,PlotSize,AGB,AGB_g_m2,HAG_plotmin_of_cellmax_m,HAG_plotmax_of_cellmax_m,HAG_plotmean_of_cellmax_m,HAG_plotmedian_of_cellmax_m,HAG_plot90percentile_of_cellmax_m
P20,P20,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.81,352.02,450.3262121,0.05,0.54,0.2343,0.21,0.38
P21,P21,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.44,968.64,736.4403558,0.05,0.85,0.3338,0.28,0.63
P22,P22,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1,910.63,963.2219166,0.03,1.04,0.3515,0.31,0.61
P23,P23,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.25,221.72,994.2600897,0.15,0.75,0.3987,0.4,0.63
P24,P24,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.36,221.55,643.853531,0,0.58,0.2567,0.26,0.43
P06,ICC6,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,137.3,549.2,0.12,0.19,0.1597,0.16,0.17
P08,ICC8,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,93.29,373.16,0.15,0.43,0.3498,0.36,0.39
P10,ICC10,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,79.08,316.32,0.12,0.56,0.3717,0.37,0.5
P12,ICC12,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,151.72,606.88,0.25,0.31,0.2781,0.28,0.3
P13,OC1,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,12.05,48.2,0,0.02,0.0016,0,0.01
P14,OC2,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,18.5,74,0,0,0,0,0
P15,OC3,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,21.61,86.44,0,0,0,0,0
P16,OC4,f.visser@worc.ac.uk,Fleur Visser,"Lakeside Campus, University of Worcester",United Kingdom,52.251,-2.254,32630,Cfb,Graminoid,TRUE,0.25,11.87,47.48,0,0.01,0,0,0
P01,HP01,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,285,968.7287559,0,0.52,0.2345,0.24,0.4
P02,HP02,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,213,845.5736403,0.05,0.36,0.2045,0.23,0.3
P03,HP03,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,155,588.9057751,0.02,0.31,0.1467,0.15,0.22
P04,HP04,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,109,444.5350734,0.01,0.26,0.0927,0.07,0.17
P05,HP05,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,289,1029.568935,0.06,0.43,0.2957,0.31,0.39
P06,HP06,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,176,720.1309329,0.03,0.35,0.217,0.23,0.3
P07,HP07,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,325,1181.388586,0.04,0.37,0.2197,0.23,0.3
P08,HP08,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,272,1002.58017,0.03,0.43,0.2346,0.23,0.37
P09,HP09,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,213,779.9340901,0.04,0.35,0.2217,0.24,0.31
P10,HP10,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,264.8,961.5105301,0.06,0.47,0.2208,0.2,0.35
P11,HP11,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,169.08,565.8634538,0.04,0.27,0.1178,0.11,0.19
P12,HP12,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #1, Craig Mountain Wildlife Management Area, Idaho",USA,46.121,-116.942,26911,Dfb,Graminoid,TRUE,0.25,231.37,740.384,0.02,0.5,0.1994,0.17,0.39
P01,BC21,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,136.97,509.1821561,0.02,0.3,0.1653,0.18,0.242
P02,BC22,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,279.75,987.469114,0.07,0.42,0.247,0.25,0.35
P03,BC23,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,68.15,247.7280989,0.03,0.33,0.1755,0.17,0.26
P04,BC24,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,246.14,986.9286287,0.06,0.38,0.1981,0.2,0.29
P05,BC25,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,157.25,596.5477997,0.02,0.33,0.1724,0.17,0.29
P06,BC26,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,133.83,485.0670533,0.04,0.4,0.219,0.22,0.35
P07,BC27,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,185.61,671.7698154,0.07,0.36,0.2377,0.24,0.31
P08,BC28,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,187.32,703.1531532,0.06,0.38,0.2011,0.2,0.29
P09,BC29,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,162.97,585.3807471,0,0.25,0.1505,0.15,0.22
P10,BC30,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,214.7,836.05919,0.12,0.45,0.2961,0.3,0.37
P11,BC31,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,192.18,717.6250934,0.04,0.35,0.1967,0.2,0.29
P12,BC32,jkarl@uidaho.edu,Jason W. Karl,"Billy Creek Site #2, Craig Mountain Wildlife Management Area, Idaho",USA,46.128,-116.941,26911,Dfb,Graminoid,TRUE,NA,200.71,742.54532,0.1,0.41,0.2578,0.26,0.31
P12,GR1,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Graminoid,TRUE,NA,12.67,53.86904762,0,0.05,0.007,0,0.03
P13,GR2,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Graminoid,TRUE,NA,34.2,127.4692508,0.04,0.1,0.0585,0.06,0.08
P14,GR3,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Graminoid,TRUE,NA,29.3,107.2081961,0,0.02,5.00E-04,0,0
P15,GR4,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Graminoid,TRUE,NA,42.08,146.3143255,0,0.05,0.0219,0.02,0.03
